,time_list,x,y,psi,u,v,r,δ,npm,X_H_ref,X_R_ref,X_P_ref,Y_H_ref,Y_R_ref,N_H_ref,N_R_ref,x_bow,y_bow,x_stern,y_stern
41,41,31.48627833333333,1.0344966666666666,-0.8915835446163882,0.16782570336986752,0.07565984405414837,-0.07510636754211397,-0.6108652381980153,9.0,-1.043914281343474,-2.888057005327397,3.858346117959668,-8.00029898795211,4.124572855515923,6.484946090158818,-8.210115364403448,32.58559457608662,-0.32712141430126573,30.38696209058004,2.396114747634599
42,42,31.650571666666664,0.9514450000000001,-0.9666899121585022,0.16305871340882017,0.061550408571751807,-0.07001318566223969,-0.6108652381980153,9.0,-0.8809228653029934,-2.905701492604213,3.8836117651083746,-6.274029061516322,4.149771794850294,5.462536612465579,-8.260274788480324,32.64461869519361,-0.48882251163690205,30.65652463813972,2.3917125116369022
43,43,31.79385,0.8522083333333332,-1.0367030978207419,0.16290434814623908,0.06542130898215996,-0.06458451375273722,-0.6108652381980153,9.0,-0.8280257851305276,-2.916201643561573,3.88574539581241,-5.988570600632352,4.164767564510539,4.773738018233775,-8.29012442460058,32.68470633571182,-0.6540701897566372,30.902993664288175,2.358486856423304
44,44,31.933088333333338,0.7452949999999999,-1.101287611573479,0.16725306017943922,0.07295432234967829,-0.07349114902878373,-0.6108652381980153,9.0,-1.0048391499477038,-2.8951497469155236,3.861599120884345,-7.5731499800961215,4.134702340277343,6.177143802867779,-8.230278479806296,32.72487271275635,-0.8153386842775495,31.141303953910327,2.3059286842775495
45,45,32.07382166666667,0.6291483333333333,-1.1747787606022628,0.16455751189505624,0.05536398993647287,-0.06812395166135321,-0.6108652381980153,9.0,-0.8206100737678066,-2.927196123113178,3.8783221512673287,-5.650346723032425,4.18046930856733,5.1217282943789435,-8.32137932896145,32.74887926583177,-0.9854095745192945,31.39876406750157,2.243706241185961
46,46,32.18837833333333,0.49868333333333337,-1.242902712263616,0.16507194760337138,0.07387799413362191,-0.0756470744034381,-0.6108652381980153,9.0,-1.0348387892222506,-2.8768801825590904,3.8716512524180637,-7.910225768212567,4.108610698357656,6.539040389210669,-8.178342098098101,32.75196510035769,-1.1580815733553111,31.624791566308975,2.155448240021978
47,47,32.311481666666666,0.3661983333333334,-1.3185497866670541,0.16512689712816495,0.06716477487279371,-0.07711220210868852,-0.6108652381980153,9.0,-1.0217163618064018,-2.8830204920897473,3.8715463895439646,-7.5203007948241725,4.117379969174642,6.62281389455783,-8.195797657156264,32.748246725716555,-1.3284214715766496,31.87471660761678,2.0608181382433166
48,48,32.41773333333333,0.22305999999999998,-1.3956619887757427,0.158559847781564,0.06251542144710219,-0.07386234191828223,-0.6108652381980153,9.0,-0.9278408816632909,-2.8721806339741764,3.9039856500501293,-6.757288981939313,4.101899047413523,6.04054472934918,-8.16498230777139,32.72265407224424,-1.5001704961850073,32.11281259442242,1.9462904961850074
49,49,32.506919999999994,0.07781833333333332,-1.4695243306940249,0.1601216853316797,0.07556569857040867,-0.0825963173858888,-0.6108652381980153,9.0,-1.1360726242220394,-2.8288538889404045,3.8949172280595645,-8.968749260035725,4.040022042854917,7.758238627098878,-8.041813833452776,32.68384320968032,-1.6632153188045025,32.32999679031967,1.818851985471169
50,50,32.598286666666674,-0.07384333333333337,-1.5521206480799137,0.16101682668598136,0.06133543895008,-0.07568385629894081,-0.6108652381980153,9.0,-0.9529089474412336,-2.8787996921889314,3.8919524712257627,-6.876581497378998,4.111352042209436,6.291975194079842,-8.183798844788008,32.63096720461561,-1.8235381588498774,32.56560612871774,1.6758514921832104
